order_id,order_date,destination_country,brand,product_name,product_type,quantity,unit_price_usd
CF24-000031,2025-10-12,SG,Roundlab,라운드랩 자작나무 수분 크림 80ml,cream,1,21.74
CF24-000032,2025-10-13,KR,Torriden,토리든 다이브인 수분크림 100ml 수분,cream,3,17.78
CF24-000033,2025-10-13,JP,Torriden,토리든 솔리드인 세라마이드 립 에센스 11ml,lip,1,15.90
CF24-000034,2025-10-13,JP,Skinfood,스킨푸드 시어버터 립 케어 밤 9.5g,lip,4,16.70
CF24-000035,2025-10-14,KR,Roundlab,라운드랩 소나무 진정 크림 80ml 수분,cream,1,21.62
CF24-000036,2025-10-14,KR,Roundlab,라운드랩 독도 립밤 12g,lip,1,17.70
CF24-000037,2025-10-14,SG,Skinfood,스킨푸드 선플라워 노세범 선 SPF50+ PA++++ 50ml 워터프루프,sunscreen,1,22.48
CF24-000038,2025-10-14,SG,Innisfree,이니스프리 그린티 씨드 크림 50ml 보습,cream,2,27.75
CF24-000039,2025-10-15,KR,Innisfree,이니스프리 아쿠아 UV 프로텍션 크림 SPF50+ PA++++ 50ml,sunscreen,2,21.45
CF24-000040,2025-10-16,JP,Innisfree,이니스프리 인텐시브 안티폴루션 선스크린 SPF50+ PA++++ 50ml 노세범,sunscreen,2,27.81
CF24-000041,2025-10-17,KR,Innisfree,이니스프리 그린티 씨드 세럼 80ml,serum,2,25.46
CF24-000042,2025-10-17,JP,Roundlab,라운드랩 자작나무 수분 토너 200ml 나이아신아마이드 센텔라,toner,3,18.89
CF24-000043,2025-10-17,SG,Skinfood,스킨푸드 로열허니 프로폴리스 인리치드 토너 180ml 나이아신아마이드 히알루론산,toner,2,18.96
CF24-000044,2025-10-18,KR,Roundlab,라운드랩 자작나무 수분 세럼 50ml 나이아신아마이드 히알루론산 수분,serum,1,32.23
CF24-000045,2025-10-18,KR,Skinfood,스킨푸드 캐롯 카로틴 진정 세럼 50ml 나이아신아마이드 센텔라,serum,4,34.91
CF24-000046,2025-10-18,JP,Skinfood,스킨푸드 선플라워 노세범 선 SPF50+ PA++++ 50ml,sunscreen,1,16.15
CF24-000047,2025-10-19,KR,Skinfood,스킨푸드 로열허니 프로폴리스 인리치드 토너 180ml 히알루론산 항산화,toner,1,13.18
CF24-000048,2025-10-19,KR,Skinfood,스킨푸드 로열허니 프로폴리스 인리치드 토너 180ml 나이아신아마이드,toner,2,11.89
CF24-000049,2025-10-19,SG,Skinfood,스킨푸드 캐롯 카로틴 진정 토너 300ml 나이아신아마이드 진정,toner,1,16.67
CF24-000050,2025-10-20,KR,Innisfree,이니스프리 그린티 씨드 세럼 80ml 항산화,serum,1,33.39
CF24-000051,2025-10-20,KR,Roundlab,라운드랩 독도 립밤 12g,lip,3,17.67
CF24-000052,2025-10-20,JP,Skinfood,스킨푸드 캐롯 카로틴 진정 세럼 50ml,serum,1,34.20
CF24-000053,2025-10-20,JP,Innisfree,이니스프리 그린티 씨드 히알루론산 세럼 80ml,serum,1,16.62
CF24-000054,2025-10-21,KR,Roundlab,라운드랩 자작나무 수분 선크림 SPF50+ PA++++ 50ml,sunscreen,1,15.65
CF24-000055,2025-10-21,KR,Innisfree,이니스프리 데일리 UV 프로텍션 크림 SPF50+ PA++++ 50ml,sunscreen,1,14.23
CF24-000056,2025-10-21,KR,Skinfood,스킨푸드 선플라워 노세범 선 SPF50+ PA++++ 50ml,sunscreen,3,21.90
CF24-000057,2025-10-21,KR,Torriden,토리든 다이브인 마일드 선스크린 SPF50+ PA++++ 60ml,sunscreen,1,27.32
CF24-000058,2025-10-22,KR,Innisfree,이니스프리 그린티 씨드 히알루론산 세럼 80ml 나이아신아마이드 센텔라 노세범,serum,1,32.29
CF24-000059,2025-10-22,JP,Innisfree,이니스프리 데일리 UV 프로텍션 크림 SPF50+ PA++++ 50ml 톤업 비건,sunscreen,2,24.90
CF24-000060,2025-10-23,KR,Torriden,토리든 다이브인 마일드 선스크린 SPF50+ PA++++ 60ml 톤업,sunscreen,1,25.91
CF24-000061,2025-10-23,JP,Torriden,토리든 솔리드인 세라마이드 립 에센스 11ml,lip,2,11.84
CF24-000062,2025-10-24,KR,Roundlab,라운드랩 자작나무 수분 선크림 SPF50+ PA++++ 50ml,sunscreen,2,27.57
CF24-000063,2025-10-24,KR,Roundlab,라운드랩 독도 토너 300ml 항산화,toner,4,11.28
CF24-000064,2025-10-24,KR,Roundlab,라운드랩 독도 립밤 12g,lip,2,12.00
CF24-000065,2025-10-24,SG,Innisfree,이니스프리 인텐시브 안티폴루션 선스크린 SPF50+ PA++++ 50ml 워터프루프 저자극,sunscreen,3,12.74
CF24-000066,2025-10-26,KR,Skinfood,스킨푸드 로열허니 프로폴리스 인리치드 에센스 50ml 보습,serum,4,26.58
CF24-000067,2025-10-26,KR,Torriden,토리든 다이브인 수분크림 100ml,cream,2,16.67
CF24-000068,2025-10-28,KR,Roundlab,라운드랩 자작나무 수분 크림 80ml 보습,cream,2,18.72
CF24-000069,2025-10-28,KR,Torriden,토리든 다이브인 수분크림 100ml 저자극,cream,5,27.49
CF24-000070,2025-11-01,KR,Innisfree,이니스프리 그린티 씨드 세럼 80ml 피부장벽,serum,2,30.43
CF24-000071,2025-11-02,KR,Innisfree,이니스프리 그린티 씨드 세럼 80ml 히알루론산 진정,serum,1,23.00
CF24-000072,2025-11-02,KR,Roundlab,라운드랩 독도 립밤 12g,lip,2,14.14
CF24-000073,2025-11-03,KR,Innisfree,이니스프리 인텐시브 안티폴루션 선스크린 SPF50+ PA++++ 50ml,sunscreen,2,15.01
CF24-000074,2025-11-03,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml 히알루론산,toner,4,16.22
CF24-000075,2025-11-03,KR,Roundlab,라운드랩 독도 세럼 50ml 나이아신아마이드 항산화,serum,1,27.86
CF24-000076,2025-11-04,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml 나이아신아마이드,toner,2,16.61
CF24-000077,2025-11-04,SG,Innisfree,이니스프리 그린티 씨드 히알루론산 토너 170ml 나이아신아마이드,toner,2,15.33
CF24-000078,2025-11-05,KR,Skinfood,스킨푸드 캐롯 카로틴 진정 토너 300ml 나이아신아마이드,toner,2,13.51
CF24-000079,2025-11-05,KR,Roundlab,라운드랩 독도 세럼 50ml 나이아신아마이드,serum,1,27.05
CF24-000080,2025-11-05,KR,Skinfood,스킨푸드 로열허니 프로폴리스 인리치드 크림 63ml 진정,cream,2,17.86
CF24-000081,2025-11-05,JP,Innisfree,이니스프리 그린티 씨드 히알루론산 세럼 80ml,serum,1,19.69
CF24-000082,2025-11-05,JP,Skinfood,스킨푸드 캐롯 카로틴 진정 세럼 50ml 센텔라 피부장벽,serum,3,17.66
CF24-000083,2025-11-05,SG,Skinfood,스킨푸드 선플라워 노세범 선 SPF50+ PA++++ 50ml 워터프루프,sunscreen,1,15.94
CF24-000084,2025-11-06,JP,Torriden,토리든 셀마이드 세라마이드 크림 80ml,cream,1,23.61
CF24-000085,2025-11-06,SG,Torriden,토리든 다이브인 마일드 선스크린 SPF50+ PA++++ 60ml 워터프루프,sunscreen,1,12.08
CF24-000086,2025-11-07,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml 센텔라 히알루론산 진정,toner,2,13.56
CF24-000087,2025-11-07,JP,Skinfood,스킨푸드 토마토 선 크림 SPF50+ PA++++ 40ml 비건,sunscreen,2,14.53
CF24-000088,2025-11-08,JP,Skinfood,스킨푸드 캐롯 카로틴 진정 토너 300ml,toner,2,14.31
CF24-000089,2025-11-08,JP,Roundlab,라운드랩 독도 세럼 50ml 히알루론산 항산화,serum,1,17.55
CF24-000090,2025-11-09,JP,Torriden,토리든 셀마이드 세라마이드 세럼 50ml 센텔라,serum,5,24.26
CF24-000091,2025-11-09,SG,Torriden,토리든 솔리드인 세라마이드 립 에센스 11ml,lip,1,17.92
CF24-000092,2025-11-10,KR,Innisfree,이니스프리 인텐시브 안티폴루션 선스크린 SPF50+ PA++++ 50ml,sunscreen,1,25.83
CF24-000093,2025-11-10,KR,Innisfree,이니스프리 데일리 UV 프로텍션 크림 SPF50+ PA++++ 50ml,sunscreen,2,19.42
CF24-000094,2025-11-10,JP,Torriden,토리든 다이브인 클리어패드 토너 200ml 나이아신아마이드,toner,5,12.37
CF24-000095,2025-11-11,KR,Innisfree,이니스프리 그린티 밸런싱 토너 200ml 항산화,toner,1,16.56
CF24-000096,2025-11-11,SG,Skinfood,스킨푸드 캐롯 카로틴 진정 토너 300ml 나이아신아마이드 히알루론산 항산화,toner,1,16.01
CF24-000097,2025-11-12,KR,Skinfood,스킨푸드 선플라워 노세범 선 SPF50+ PA++++ 50ml,sunscreen,1,24.98
CF24-000098,2025-11-12,KR,Skinfood,스킨푸드 로열허니 프로폴리스 인리치드 에센스 50ml 센텔라 수분,serum,2,32.72
CF24-000099,2025-11-12,KR,Roundlab,라운드랩 자작나무 수분 크림 80ml,cream,1,19.40
CF24-000100,2025-11-13,KR,Skinfood,스킨푸드 캐롯 카로틴 진정 세럼 50ml 센텔라 히알루론산 노세범,serum,1,15.85
CF24-000101,2025-11-13,KR,Roundlab,라운드랩 자작나무 수분 세럼 50ml 히알루론산,serum,5,25.86
CF24-000102,2025-11-13,JP,Roundlab,라운드랩 자작나무 수분 선크림 SPF50+ PA++++ 50ml 톤업 비건,sunscreen,2,22.27
CF24-000103,2025-11-14,KR,Innisfree,이니스프리 그린티 씨드 크림 50ml 저자극,cream,2,27.84
CF24-000104,2025-11-15,KR,Skinfood,스킨푸드 캐롯 카로틴 진정 세럼 50ml 나이아신아마이드 보습,serum,1,24.95
CF24-000105,2025-11-15,KR,Skinfood,스킨푸드 로열허니 프로폴리스 인리치드 크림 63ml,cream,4,31.76
CF24-000106,2025-11-15,JP,Skinfood,스킨푸드 캐롯 카로틴 진정 토너 300ml,toner,1,15.75
CF24-000107,2025-11-16,JP,Roundlab,라운드랩 자작나무 수분 세럼 50ml 나이아신아마이드 센텔라 보습,serum,5,25.43
CF24-000108,2025-11-18,KR,Innisfree,이니스프리 아쿠아 UV 프로텍션 크림 SPF50+ PA++++ 50ml,sunscreen,3,17.59
CF24-000109,2025-11-18,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml,toner,2,23.56
CF24-000110,2025-11-18,JP,Roundlab,라운드랩 소나무 진정 선크림 SPF50+ PA++++ 40ml 톤업,sunscreen,1,17.93
CF24-000111,2025-11-18,JP,Torriden,토리든 다이브인 워터리 선크림 SPF50+ PA++++ 60ml,sunscreen,2,14.60
CF24-000112,2025-11-19,KR,Torriden,토리든 솔리드인 세라마이드 립 에센스 11ml,lip,4,13.19
CF24-000113,2025-11-20,KR,Innisfree,이니스프리 인텐시브 안티폴루션 선스크린 SPF50+ PA++++ 50ml,sunscreen,1,16.39
CF24-000114,2025-11-20,KR,Innisfree,이니스프리 인텐시브 안티폴루션 선스크린 SPF50+ PA++++ 50ml,sunscreen,1,19.23
CF24-000115,2025-11-20,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml 나이아신아마이드 센텔라 수분,toner,2,18.10
CF24-000116,2025-11-20,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml,toner,1,17.21
CF24-000117,2025-11-20,KR,Torriden,토리든 셀마이드 세라마이드 세럼 50ml 센텔라 히알루론산 수분,serum,1,20.91
CF24-000118,2025-11-20,KR,Innisfree,이니스프리 비비드 코튼 잉크 틴트 4g #09 밀키코랄 글로시,lip,1,9.62
CF24-000119,2025-11-20,JP,Torriden,토리든 다이브인 저분자 히알루론산 토너 300ml 노세범,toner,1,17.09
CF24-000120,2025-11-21,KR,Skinfood,스킨푸드 토마토 선 크림 SPF50+ PA++++ 40ml,sunscreen,2,14.42
CF24-000121,2025-11-21,KR,Skinfood,스킨푸드 캐롯 카로틴 진정 세럼 50ml,serum,3,16.26
CF24-000122,2025-11-21,KR,Roundlab,라운드랩 소나무 진정 크림 80ml 보습,cream,3,22.14
CF24-000123,2025-11-21,KR,Torriden,토리든 다이브인 수분크림 100ml 저자극,cream,1,23.97
CF24-000124,2025-11-22,KR,Innisfree,이니스프리 그린티 씨드 세럼 80ml,serum,1,15.32
CF24-000125,2025-11-22,JP,Innisfree,이니스프리 한란 보습 크림 50ml,cream,1,27.04
CF24-000126,2025-11-23,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml 피부장벽,toner,2,22.14
CF24-000127,2025-11-23,JP,Skinfood,스킨푸드 토마토 선 크림 SPF50+ PA++++ 40ml 톤업,sunscreen,3,18.89
CF24-000128,2025-11-23,JP,Torriden,토리든 다이브인 클리어패드 토너 200ml 나이아신아마이드 센텔라 수분,toner,1,20.97
CF24-000129,2025-11-23,JP,Innisfree,이니스프리 그린티 씨드 세럼 80ml 나이아신아마이드 노세범,serum,1,17.71
CF24-000130,2025-11-23,JP,Innisfree,이니스프리 마이 립 밤 3.5g,lip,2,8.16
CF24-000131,2025-11-24,JP,Torriden,토리든 다이브인 마일드 선스크린 SPF50+ PA++++ 60ml 톤업 자외선차단,sunscreen,1,26.12
CF24-000132,2025-11-25,KR,Innisfree,이니스프리 아쿠아 UV 프로텍션 크림 SPF50+ PA++++ 50ml,sunscreen,1,21.29
CF24-000133,2025-11-25,KR,Roundlab,라운드랩 독도 세럼 50ml 센텔라,serum,1,22.14
CF24-000134,2025-11-25,KR,Roundlab,라운드랩 소나무 진정 크림 80ml,cream,2,25.02
CF24-000135,2025-11-25,KR,Innisfree,이니스프리 비비드 코튼 잉크 틴트 4g #10 로즈우드 글로시,lip,1,14.24
CF24-000136,2025-11-27,KR,Roundlab,라운드랩 독도 토너 300ml 히알루론산,toner,2,11.87
CF24-000137,2025-11-27,KR,Roundlab,라운드랩 자작나무 수분 토너 200ml 센텔라 히알루론산,toner,1,12.43
CF24-000138,2025-11-27,KR,Innisfree,이니스프리 그린티 밸런싱 토너 200ml 센텔라,toner,2,18.96
CF24-000139,2025-11-27,KR,Roundlab,라운드랩 자작나무 수분 크림 80ml,cream,1,17.35
CF24-000140,2025-11-27,KR,Torriden,토리든 다이브인 수분크림 100ml,cream,2,16.18
CF24-000141,2025-11-28,KR,Torriden,토리든 다이브인 워터리 선크림 SPF50+ PA++++ 60ml 진정,sunscreen,1,21.64
CF24-000142,2025-11-28,KR,Roundlab,라운드랩 독도 립밤 12g,lip,1,14.35
CF24-000143,2025-12-01,KR,Skinfood,스킨푸드 선플라워 노세범 선 SPF50+ PA++++ 50ml 수분,sunscreen,2,19.12
CF24-000144,2025-12-01,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml 나이아신아마이드 피부장벽,toner,2,19.75
CF24-000145,2025-12-02,KR,Roundlab,라운드랩 독도 립밤 12g,lip,2,16.14
CF24-000146,2025-12-04,KR,Innisfree,이니스프리 그린티 씨드 크림 50ml,cream,1,22.60
CF24-000147,2025-12-05,KR,Innisfree,이니스프리 그린티 씨드 세럼 80ml 나이아신아마이드,serum,1,16.82
CF24-000148,2025-12-05,KR,Roundlab,라운드랩 자작나무 수분 크림 80ml,cream,1,20.43
CF24-000149,2025-12-05,KR,Torriden,토리든 다이브인 수분크림 100ml 보습,cream,1,28.69
CF24-000150,2025-12-05,JP,Innisfree,이니스프리 아쿠아 UV 프로텍션 크림 SPF50+ PA++++ 50ml 비건 무기자차,sunscreen,3,15.99
CF24-000151,2025-12-06,JP,Skinfood,스킨푸드 선플라워 노세범 선 SPF50+ PA++++ 50ml 수분,sunscreen,1,16.67
CF24-000152,2025-12-06,JP,Innisfree,이니스프리 그린티 씨드 크림 50ml,cream,2,17.07
CF24-000153,2025-12-07,KR,Innisfree,이니스프리 그린티 씨드 히알루론산 세럼 80ml 센텔라,serum,5,17.61
CF24-000154,2025-12-08,KR,Torriden,토리든 다이브인 마일드 선스크린 SPF50+ PA++++ 60ml 노세범,sunscreen,1,24.90
CF24-000155,2025-12-08,KR,Roundlab,라운드랩 독도 토너 300ml 센텔라,toner,1,20.10
CF24-000156,2025-12-09,KR,Roundlab,라운드랩 독도 세럼 50ml 보습,serum,1,30.40
CF24-000157,2025-12-09,KR,Torriden,토리든 셀마이드 세라마이드 세럼 50ml 센텔라,serum,3,17.80
CF24-000158,2025-12-10,KR,Torriden,토리든 다이브인 워터리 선크림 SPF50+ PA++++ 60ml 톤업,sunscreen,1,22.40
CF24-000159,2025-12-10,JP,Innisfree,이니스프리 그린티 씨드 히알루론산 토너 170ml 피부장벽,toner,2,12.03
CF24-000160,2025-12-11,KR,Roundlab,라운드랩 소나무 진정 크림 80ml 수분,cream,1,17.94
CF24-000161,2025-12-11,KR,Roundlab,라운드랩 자작나무 수분 크림 80ml,cream,1,17.19
CF24-000162,2025-12-11,KR,Skinfood,스킨푸드 시어버터 립 케어 밤 9.5g,lip,2,10.95
CF24-000163,2025-12-12,KR,Innisfree,이니스프리 그린티 밸런싱 토너 200ml,toner,1,17.49
CF24-000164,2025-12-12,KR,Torriden,토리든 다이브인 수분크림 100ml 진정,cream,3,26.56
CF24-000165,2025-12-12,KR,Innisfree,이니스프리 한란 보습 크림 50ml,cream,2,24.14
CF24-000166,2025-12-13,KR,Roundlab,라운드랩 자작나무 수분 세럼 50ml,serum,2,21.36
CF24-000167,2025-12-13,KR,Torriden,토리든 솔리드인 세라마이드 립 에센스 11ml,lip,2,17.61
CF24-000168,2025-12-14,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml 나이아신아마이드 수분,toner,3,20.11
CF24-000169,2025-12-14,KR,Skinfood,스킨푸드 캐롯 카로틴 진정 세럼 50ml 센텔라,serum,4,16.68
CF24-000170,2025-12-14,KR,Torriden,토리든 셀마이드 세라마이드 세럼 50ml 수분,serum,2,20.20
CF24-000171,2025-12-14,JP,Innisfree,이니스프리 인텐시브 안티폴루션 선스크린 SPF50+ PA++++ 50ml 비건 저자극,sunscreen,2,12.77
CF24-000172,2025-12-14,JP,Innisfree,이니스프리 인텐시브 안티폴루션 선스크린 SPF50+ PA++++ 50ml,sunscreen,1,18.36
CF24-000173,2025-12-14,SG,Innisfree,이니스프리 그린티 씨드 세럼 80ml 히알루론산,serum,1,30.74
CF24-000174,2025-12-15,KR,Innisfree,이니스프리 그린티 밸런싱 토너 200ml 나이아신아마이드 센텔라 보습,toner,1,20.80
CF24-000175,2025-12-15,JP,Torriden,토리든 다이브인 수분크림 100ml,cream,1,27.02
CF24-000176,2025-12-16,KR,Innisfree,이니스프리 인텐시브 안티폴루션 선스크린 SPF50+ PA++++ 50ml,sunscreen,1,18.12
CF24-000177,2025-12-16,KR,Innisfree,이니스프리 그린티 밸런싱 토너 200ml 진정,toner,1,12.25
CF24-000178,2025-12-16,KR,Roundlab,라운드랩 독도 세럼 50ml,serum,1,32.05
CF24-000179,2025-12-18,KR,Roundlab,라운드랩 독도 토너 300ml 센텔라 히알루론산 피부장벽,toner,2,14.03
CF24-000180,2025-12-18,KR,Innisfree,이니스프리 시카 리페어 토너 200ml 노세범,toner,1,10.96
CF24-000181,2025-12-18,KR,Innisfree,이니스프리 그린티 밸런싱 토너 200ml 히알루론산,toner,2,12.63
CF24-000182,2025-12-18,KR,Torriden,토리든 다이브인 저분자 히알루론산 세럼 50ml 센텔라,serum,3,26.12
CF24-000183,2025-12-18,JP,Innisfree,이니스프리 인텐시브 안티폴루션 선스크린 SPF50+ PA++++ 50ml 톤업 노세범,sunscreen,1,14.72
CF24-000184,2025-12-19,KR,Innisfree,이니스프리 그린티 밸런싱 토너 200ml,toner,2,22.70
CF24-000185,2025-12-20,KR,Skinfood,스킨푸드 토마토 선 크림 SPF50+ PA++++ 40ml,sunscreen,1,13.61
CF24-000186,2025-12-20,KR,Innisfree,이니스프리 아쿠아 UV 프로텍션 크림 SPF50+ PA++++ 50ml,sunscreen,1,25.77
CF24-000187,2025-12-20,KR,Innisfree,이니스프리 그린티 씨드 히알루론산 세럼 80ml,serum,1,29.09
CF24-000188,2025-12-20,KR,Torriden,토리든 솔리드인 세라마이드 립 에센스 11ml,lip,4,17.49
CF24-000189,2025-12-20,JP,Innisfree,이니스프리 한란 보습 크림 50ml 수분,cream,1,24.96
CF24-000190,2025-12-20,JP,Skinfood,스킨푸드 시어버터 립 케어 밤 9.5g,lip,1,10.62
CF24-000191,2025-12-21,KR,Torriden,토리든 다이브인 마일드 선스크린 SPF50+ PA++++ 60ml,sunscreen,2,12.02
CF24-000192,2025-12-21,KR,Roundlab,라운드랩 독도 세럼 50ml 히알루론산 수분,serum,1,27.92
CF24-000193,2025-12-21,KR,Torriden,토리든 셀마이드 세라마이드 세럼 50ml 나이아신아마이드 센텔라,serum,3,21.63
CF24-000194,2025-12-21,JP,Torriden,토리든 셀마이드 세라마이드 세럼 50ml 히알루론산,serum,1,16.62
CF24-000195,2025-12-21,JP,Skinfood,스킨푸드 프레쉬 과일 립앤치크 틴트 8g #10 로즈우드 시어,lip,2,14.11
CF24-000196,2025-12-22,KR,Torriden,토리든 셀마이드 세라마이드 크림 80ml,cream,1,14.68
CF24-000197,2025-12-22,JP,Torriden,토리든 다이브인 클리어패드 토너 200ml 나이아신아마이드 센텔라,toner,2,14.04
CF24-000198,2025-12-22,JP,Roundlab,라운드랩 자작나무 수분 토너 200ml 진정,toner,2,20.33
CF24-000199,2025-12-22,SG,Innisfree,이니스프리 데일리 UV 프로텍션 크림 SPF50+ PA++++ 50ml,sunscreen,1,20.79
CF24-000200,2025-12-23,SG,Innisfree,이니스프리 아쿠아 UV 프로텍션 크림 SPF50+ PA++++ 50ml 워터프루프,sunscreen,2,26.24
CF24-000201,2025-12-24,KR,Innisfree,이니스프리 아쿠아 UV 프로텍션 크림 SPF50+ PA++++ 50ml,sunscreen,1,18.87
CF24-000202,2025-12-24,KR,Innisfree,이니스프리 그린티 씨드 히알루론산 토너 170ml,toner,1,24.30
CF24-000203,2025-12-24,JP,Skinfood,스킨푸드 로열허니 프로폴리스 인리치드 토너 180ml 나이아신아마이드 히알루론산,toner,4,20.23
CF24-000204,2025-12-24,JP,Roundlab,라운드랩 자작나무 수분 크림 80ml 저자극,cream,1,14.71
CF24-000205,2025-12-25,KR,Innisfree,이니스프리 그린티 씨드 히알루론산 토너 170ml,toner,1,22.88
CF24-000206,2025-12-25,KR,Roundlab,라운드랩 독도 립밤 12g,lip,2,13.62
CF24-000207,2025-12-26,KR,Roundlab,라운드랩 소나무 진정 선크림 SPF50+ PA++++ 40ml 수분,sunscreen,1,22.01
CF24-000208,2025-12-26,KR,Innisfree,이니스프리 그린티 씨드 세럼 80ml 나이아신아마이드 노세범,serum,1,23.13
CF24-000209,2025-12-26,KR,Roundlab,라운드랩 소나무 진정 크림 80ml,cream,1,30.43
CF24-000210,2025-12-26,JP,Roundlab,라운드랩 자작나무 수분 선크림 SPF50+ PA++++ 50ml,sunscreen,1,19.44
CF24-000211,2025-12-26,JP,Innisfree,이니스프리 데일리 UV 프로텍션 크림 SPF50+ PA++++ 50ml,sunscreen,3,18.62
CF24-000212,2025-12-27,KR,Innisfree,이니스프리 시카 리페어 토너 200ml 노세범,toner,1,19.18
CF24-000213,2025-12-27,JP,Skinfood,스킨푸드 캐롯 카로틴 진정 토너 300ml 나이아신아마이드,toner,1,10.46
CF24-000214,2025-12-27,JP,Skinfood,스킨푸드 로열허니 프로폴리스 인리치드 크림 63ml,cream,1,18.22
CF24-000215,2025-12-27,SG,Roundlab,라운드랩 독도 립밤 12g,lip,1,14.69
CF24-000216,2025-12-28,KR,Skinfood,스킨푸드 토마토 선 크림 SPF50+ PA++++ 40ml,sunscreen,2,14.42
CF24-000217,2025-12-28,KR,Innisfree,이니스프리 그린티 씨드 크림 50ml,cream,5,20.99
CF24-000218,2025-12-28,JP,Skinfood,스킨푸드 토마토 선 크림 SPF50+ PA++++ 40ml 톤업,sunscreen,1,19.67
CF24-000219,2026-01-01,KR,Skinfood,스킨푸드 선플라워 노세범 선 SPF50+ PA++++ 50ml,sunscreen,2,25.14
CF24-000220,2026-01-01,KR,Torriden,토리든 셀마이드 세라마이드 세럼 50ml 센텔라 히알루론산 보습,serum,3,20.38
CF24-000221,2026-01-01,KR,Torriden,토리든 다이브인 수분크림 100ml,cream,1,19.85
